Rank,NOC,Gold,Silver,Bronze,Total
1,United States,39,41,33,113.0
2,China,38,32,19,89.0
3,Japan,27,14,17,58.0
4,Great Britain,22,20,22,64.0
5,ROC,20,28,23,71.0
6,Australia,17,7,22,46.0
7,Netherlands,10,12,14,36.0
8,France,10,12,11,33.0
9,Germany,10,11,16,37.0
10,Italy,10,10,20,40.0
11,Canada,7,7,10,24.0
12,Brazil,7,6,8,21.0
13,New Zealand,7,6,7,20.0
14,Cuba,7,3,5,15.0
15,Hungary,6,7,7,20.0
16,South Korea,6,4,10,20.0
17,Poland,4,5,5,14.0
18,Czech Republic,4,4,3,11.0
19,Kenya,4,4,2,10.0
20,Norway,4,2,2,8.0
21,Jamaica,4,1,4,9.0
22,Spain,3,8,6,17.0
23,Sweden,3,6,0,9.0
24,Switzerland,3,4,6,13.0
25,Denmark,3,4,4,11.0
26,Croatia,3,3,2,8.0
27,Iran,3,2,2,7.0
28,Serbia,3,1,5,9.0
29,Belgium,3,1,3,7.0
30,Bulgaria,3,1,2,6.0
31,Slovenia,3,1,1,5.0
32,Uzbekistan,3,0,2,5.0
33,Georgia,2,5,1,8.0
34,Chinese Taipei,2,4,6,12.0
35,Turkey,2,2,9,13.0
36,Greece,2,1,1,4.0
2,Uganda,1,1,4,
38,Ecuador,2,1,0,3.0
39,Ireland,2,0,2,4.0
2,Israel,0,2,4,
41,Qatar,2,0,1,3.0
42,Bahamas,2,0,0,2.0
2,Kosovo,0,0,2,
44,Ukraine,1,6,12,19.0
45,Belarus,1,3,3,7.0
46,Romania,1,3,0,4.0
1,Venezuela,3,0,4,
48,India,1,2,4,7.0
49,Hong Kong,1,2,3,6.0
50,Philippines,1,2,1,4.0
1,Slovakia,2,1,4,
52,South Africa,1,2,0,3.0
53,Austria,1,1,5,7.0
54,Egypt,1,1,4,6.0
55,Indonesia,1,1,3,5.0
56,Ethiopia,1,1,2,4.0
1,Portugal,1,2,4,
58,Tunisia,1,1,0,2.0
59,Estonia,1,0,1,2.0
1,Fiji,0,1,2,
1,Latvia,0,1,2,
1,Thailand,0,1,2,
63,Bermuda,1,0,0,1.0
1,Morocco,0,0,1,
1,Puerto Rico,0,0,1,
66,Colombia,0,4,1,5.0
67,Azerbaijan,0,3,4,7.0
68,Dominican Republic,0,3,2,5.0
69,Armenia,0,2,2,4.0
70,Kyrgyzstan,0,2,1,3.0
71,Mongolia,0,1,3,4.0
72,Argentina,0,1,2,3.0
0,San Marino,1,2,3,
74,Jordan,0,1,1,2.0
0,Malaysia,1,1,2,
0,Nigeria,1,1,2,
77,Bahrain,0,1,0,1.0
0,Lithuania,1,0,1,
0,Namibia,1,0,1,
0,North Macedonia,1,0,1,
0,Saudi Arabia,1,0,1,
0,Turkmenistan,1,0,1,
83,Kazakhstan,0,0,8,8.0
84,Mexico,0,0,4,4.0
85,Finland,0,0,2,2.0
86,Botswana,0,0,1,1.0
0,Burkina Faso,0,1,1,
0,Ghana,0,1,1,
0,Grenada,0,1,1,
0,Ivory Coast,0,1,1,
0,Kuwait,0,1,1,
0,Moldova,0,1,1,
0,Syria,0,1,1,
